measurementTime,pm25,pm10,no2,o3,co,so2,temperature,humidity,notes,timeOfDay,locationType
2025-01-01 06:10,11.2,18.5,22.4,31.1,0.6,1.2,21,78,Morning sample,morning,residential
2025-01-01 09:40,16.7,24.2,35.8,20.9,0.9,2.0,24,70,Traffic nearby,morning,commercial
2025-01-01 12:30,28.5,41.0,48.3,17.2,1.5,2.9,29,62,High sun,afternoon,urban
2025-01-01 15:20,35.9,56.1,61.2,14.7,1.9,3.5,33,55,Dust and heat,afternoon,industrial
2025-01-01 18:40,21.4,34.6,39.1,19.3,1.1,2.3,27,64,Evening cool,evening,residential
2025-01-01 21:10,14.5,22.8,27.3,25.6,0.8,1.6,23,72,Night air,night,residential

2025-01-02 06:05,12.1,20.4,24.0,29.8,0.7,1.4,22,75,Clear morning,morning,suburban
2025-01-02 08:50,18.3,29.7,38.9,21.5,1.0,2.2,25,69,Traffic peak,morning,commercial
2025-01-02 11:25,31.6,48.5,57.2,16.8,1.6,3.1,30,60,Near market,afternoon,urban
2025-01-02 14:40,39.2,62.3,65.7,13.9,2.0,3.7,34,54,High pollution,afternoon,industrial
2025-01-02 17:55,24.8,39.9,43.5,18.1,1.2,2.6,28,63,Work closing,evening,commercial
2025-01-02 22:15,13.4,21.2,26.9,26.7,0.7,1.5,22,73,Quiet night,night,residential

2025-01-03 06:25,10.9,17.8,21.0,32.2,0.6,1.1,20,80,Foggy morning,morning,rural
2025-01-03 09:10,15.8,24.0,33.5,22.0,0.9,1.9,24,71,Buses nearby,morning,school
2025-01-03 12:00,29.7,45.2,52.4,17.9,1.4,2.8,28,64,Midday heat,afternoon,urban
2025-01-03 14:50,37.6,59.3,63.8,14.2,1.8,3.6,33,56,Factory fumes,afternoon,industrial
2025-01-03 18:05,22.1,35.9,40.7,19.4,1.1,2.4,27,65,Sunset breeze,evening,residential
2025-01-03 21:35,14.0,22.5,26.1,27.3,0.8,1.6,23,74,Cool night,night,residential

2025-01-04 06:00,9.8,16.4,19.7,33.9,0.5,1.0,19,83,Early fog,morning,rural
2025-01-04 08:35,17.4,27.3,36.6,23.1,1.0,2.1,24,69,Roadside,morning,commercial
2025-01-04 11:55,32.4,50.1,58.9,16.3,1.6,3.2,30,61,Construction nearby,afternoon,urban
2025-01-04 14:10,41.5,66.9,70.3,13.2,2.1,3.9,35,52,Vehicles + heat,afternoon,industrial
2025-01-04 17:45,26.3,41.3,46.8,18.7,1.3,2.7,29,60,Evening traffic,evening,commercial
2025-01-04 20:30,15.9,25.0,30.4,24.2,0.9,1.8,24,70,Cool down,night,residential

2025-01-05 06:20,11.7,19.3,23.5,30.5,0.6,1.3,21,78,Morning test,morning,residential
2025-01-05 09:00,19.9,30.8,40.2,20.2,1.1,2.4,25,67,School rush,morning,school
2025-01-05 12:10,34.6,53.4,60.8,15.8,1.7,3.3,31,58,Busy noon,afternoon,urban
2025-01-05 15:35,43.2,68.7,72.6,12.6,2.2,4.1,36,50,Peak pollution,afternoon,industrial
2025-01-05 18:15,27.9,44.8,47.1,17.9,1.4,2.9,30,59,Closing time,evening,commercial
2025-01-05 22:40,13.8,22.7,28.0,26.0,0.8,1.6,23,72,Quiet night,night,residential

2025-01-06 06:50,12.5,20.1,25.3,29.1,0.7,1.4,22,77,Clear morning,morning,suburban
2025-01-06 09:25,18.6,28.4,37.7,21.7,1.0,2.1,25,68,Traffic,morning,commercial
2025-01-06 12:45,31.9,49.2,56.5,17.0,1.6,3.0,30,60,Market area,afternoon,urban
2025-01-06 14:55,40.6,65.1,69.4,13.5,2.0,3.8,34,54,Industrial smoke,afternoon,industrial
2025-01-06 18:25,25.3,40.6,44.0,18.8,1.2,2.6,28,63,Sunset,evening,residential
2025-01-06 21:55,14.6,23.3,27.5,24.9,0.9,1.7,23,71,Cool night,night,residential

2025-01-07 07:10,13.0,21.5,26.2,28.3,0.7,1.5,22,76,Light breeze,morning,rural
2025-01-07 09:45,20.4,31.7,41.4,19.9,1.2,2.5,26,66,Bus stop,morning,commercial
2025-01-07 12:35,35.0,54.2,61.1,15.2,1.8,3.4,32,56,Dry afternoon,afternoon,urban
2025-01-07 15:05,44.8,70.5,74.0,12.2,2.3,4.3,37,48,Factory output,afternoon,industrial
2025-01-07 18:50,29.2,46.9,49.5,17.5,1.5,3.0,31,57,Evening crowd,evening,commercial
2025-01-07 22:20,16.2,26.5,31.8,23.6,1.0,2.0,25,69,Quiet night,night,residential

2025-01-08 06:15,11.3,18.9,22.7,31.4,0.6,1.3,21,79,Fresh air,morning,rural
2025-01-08 09:10,17.5,27.1,36.0,22.8,1.0,2.1,25,68,Rush hour,morning,commercial
2025-01-08 12:20,30.8,47.3,54.6,16.6,1.6,3.1,30,59,Busy area,afternoon,urban
2025-01-08 14:30,39.9,64.0,68.9,14.1,2.0,3.7,34,55,Industry zone,afternoon,industrial
2025-01-08 18:00,24.5,39.2,43.7,19.0,1.3,2.6,28,62,Evening calm,evening,residential
2025-01-08 21:45,14.1,23.0,27.2,25.3,0.8,1.7,23,73,Peaceful night,night,residential
